,trait,efo,confidence
71,Phospholipid levels in HDL,phospholipids in HDL measurement,5
72,Average diameter for HDL particles,HDL particle size,5
73,Triglyceride levels in HDL,triglycerides in HDL measurement,5
74,Histidine levels,histidine measurement,4
75,Cholesterol levels in IDL,total cholesterol in IDL,4
76,Cholesterol to total lipids ratio in IDL,cholesterol:total lipids ratio,4
77,Cholesteryl ester levels in IDL,cholesterol in IDL measurement,4
78,Cholesteryl esters to total lipids ratio in IDL,cholesteryl esters to total lipids ratio,4
79,Free cholesterol levels in IDL,free cholesterol in IDL measurement,4
80,Free cholesterol to total lipids ratio in IDL,free cholesterol to total lipids in IDL percentage,5
81,Total lipid levels in IDL,total lipids in IDL,5
82,Concentration of IDL particles,total lipids in IDL,4
83,Phospholipid levels in IDL,phospholipids in small VLDL measurement,3
84,Phospholipids to total lipids ratio in IDL,phospholipids:total lipids ratio,4
85,Triglyceride levels in IDL,triglycerides in IDL measurement,4
86,Triglycerides to total lipids ratio in IDL,triglycerides to total lipids in IDL percentage,4
87,Isoleucine levels,isoleucine measurement,5
88,Cholesterol levels in large HDL,cholesterol in large HDL measurement,5
89,Cholesterol to total lipids ratio in large HDL,cholesterol to total lipids in large HDL percentage,5
90,Cholesteryl ester levels in large HDL,cholesterol esters in large HDL measurement,5
91,Cholesteryl esters to total lipids ratio in large HDL,cholesteryl esters:total lipids ratio,4
92,Free cholesterol levels in large HDL,free cholesterol in large HDL measurement,5
93,Free cholesterol to total lipids ratio in large HDL,free cholesterol to total lipids in large HDL percentage,5
94,Total lipid levels in large HDL,total lipids in large HDL,5
95,Concentration of large HDL particles,concentration of large HDL particles measurement,5
96,Phospholipid levels in large HDL,phospholipids in large HDL measurement,5
97,Phospholipids to total lipids ratio in large HDL,phospholipids:total lipids ratio,4
98,Triglyceride levels in large HDL,triglycerides in large HDL measurement,5
99,Triglycerides to total lipids ratio in large HDL,triglycerides to total lipids in large HDL percentage,5
100,Cholesterol levels in large LDL,cholesterol in large LDL measurement,5
101,Cholesterol to total lipids ratio in large LDL,cholesterol to total lipids in large LDL percentage,5
102,Cholesteryl ester levels in large LDL,cholesterol esters in large LDL measurement,5
103,Cholesteryl esters to total lipids ratio in large LDL,cholesteryl esters:total lipids ratio,4
104,Free cholesterol levels in large LDL,free cholesterol in large LDL measurement,5
105,Free cholesterol to total lipids ratio in large LDL,free cholesterol to total lipids in large LDL percentage,4
106,Total lipid levels in large LDL,total lipids in large LDL,5
107,Concentration of large LDL particles,concentration of large LDL particles measurement,5
108,Phospholipid levels in large LDL,phospholipids in LDL measurement,4
109,Phospholipids to total lipids ratio in large LDL,phospholipids:total lipids ratio,5
110,Triglyceride levels in large LDL,triglycerides in large LDL measurement,5
111,Triglycerides to total lipids ratio in large LDL,triglycerides:total lipids ratio,4
112,Cholesterol levels in large VLDL,cholesterol in large VLDL measurement,4
113,Cholesterol to total lipids ratio in large VLDL,cholesterol to total lipids in large VLDL percentage,5
114,Cholesteryl ester levels in large VLDL,cholesterol esters in large VLDL measurement,4
115,Cholesteryl esters to total lipids ratio in large VLDL,cholesteryl esters to total lipids in large VLDL percentage,5
116,Free cholesterol levels in large VLDL,free cholesterol in large VLDL measurement,5
117,Free cholesterol to total lipids ratio in large VLDL,free cholesterol to total lipids in large VLDL percentage,5
118,Total lipid levels in large VLDL,total lipids in large VLDL,5
119,Concentration of large VLDL particles,concentration of large VLDL particles measurement,5
120,Phospholipid levels in large VLDL,phospholipids in large VLDL measurement,5
121,Phospholipids to total lipids ratio in large VLDL,phospholipids:total lipids ratio,4
122,Triglyceride levels in large VLDL,triglycerides in large VLDL measurement,5
123,Triglycerides to total lipids ratio in large VLDL,triglycerides to total lipids in large VLDL percentage,5
124,Linoleic acid levels,linoleic acid measurement,5
125,Ratio of linoleic acid to total fatty acids,linoleic acid measurement,4
126,Lactate levels,lactate,4
127,LDL cholesterol levels,LDL cholesterol,5
128,Cholesteryl ester levels in LDL,cholesteryl esters in large LDL measurement,4
129,Free cholesterol levels in LDL,free cholesterol in LDL measurement,5
130,Total lipid levels in LDL,total lipids in LDL measurement,5
131,Concentration of LDL particles,total lipids in LDL measurement,4
132,Phospholipid levels in LDL,phospholipids in LDL measurement,5
133,Average diameter for LDL particles,LDL particle size,4
134,Triglyceride levels in LDL,triglycerides in LDL measurement,5
135,Leucine levels,leucine measurement,5
136,Cholesterol levels in medium HDL,cholesterol in medium HDL measurement,5
137,Cholesterol to total lipids ratio in medium HDL,cholesterol to total lipids in medium HDL percentage,5
138,Cholesteryl ester levels in medium HDL,cholesteryl ester measurement,4
139,Cholesteryl esters to total lipids ratio in medium HDL,cholesteryl esters to total lipids in medium HDL percentage,5
140,Free cholesterol levels in medium HDL,free cholesterol in medium HDL measurement,5
141,Free cholesterol to total lipids ratio in medium HDL,free cholesterol:total lipids ratio,4
142,Total lipid levels in medium HDL,total lipids in medium HDL measurement,5
143,Concentration of medium HDL particles,cholesterol in medium HDL measurement,4
144,Phospholipid levels in medium HDL,phospholipids in medium HDL measurement,5
145,Phospholipids to total lipids ratio in medium HDL,phospholipids:total lipids ratio,4
146,Triglyceride levels in medium HDL,triglycerides in medium HDL measurement,5
147,Triglycerides to total lipids ratio in medium HDL,triglycerides to total lipids in medium HDL percentage,4
148,Cholesterol levels in medium LDL,cholesterol in medium LDL measurement,5
149,Cholesterol to total lipids ratio in medium LDL,cholesterol to total lipids in medium LDL percentage,5
150,Cholesteryl ester levels in medium LDL,cholesterol esters in medium LDL measurement,5
151,Cholesteryl esters to total lipids ratio in medium LDL,cholesteryl esters to total lipids in medium LDL percentage,5
152,Free cholesterol levels in medium LDL,free cholesterol in medium LDL measurement,5
153,Free cholesterol to total lipids ratio in medium LDL,free cholesterol to total lipids in medium LDL percentage,4
154,Total lipid levels in medium LDL,total lipids in medium LDL,5
155,Concentration of medium LDL particles,concentration of medium LDL particles measurement,5
156,Phospholipid levels in medium LDL,phospholipids in medium LDL measurement,5
157,Phospholipids to total lipids ratio in medium LDL,phospholipids:total lipids ratio,5
158,Triglyceride levels in medium LDL,triglycerides in medium LDL measurement,5
159,Triglycerides to total lipids ratio in medium LDL,triglycerides:total lipids ratio,5
160,Cholesterol levels in medium VLDL,cholesterol in medium VLDL measurement,5
161,Cholesterol to total lipids ratio in medium VLDL,cholesterol to total lipids in medium VLDL percentage,5
162,Cholesteryl ester levels in medium VLDL,cholesterol esters in medium VLDL measurement,5
163,Cholesteryl esters to total lipids ratio in medium VLDL,cholesteryl esters to total lipids in medium VLDL percentage,5
164,Free cholesterol levels in medium VLDL,free cholesterol in medium VLDL measurement,5
165,Free cholesterol to total lipids ratio in medium VLDL,free cholesterol to total lipids in medium VLDL percentage,5
166,Total lipid levels in medium VLDL,total lipids in medium VLDL,5
167,Concentration of medium VLDL particles,concentration of medium VLDL particles,5
168,Phospholipid levels in medium VLDL,phospholipids in medium VLDL measurement,5
169,Phospholipids to total lipids ratio in medium VLDL,phospholipids:total lipids ratio,5
170,Triglyceride levels in medium VLDL,triglycerides in medium VLDL measurement,5
171,Triglycerides to total lipids ratio in medium VLDL,triglycerides to total lipids in medium VLDL percentage,5
172,Monounsaturated fatty acid levels,"monounsaturated fatty acids; 16:1, 18:1 measurement",5
173,Ratio of monounsaturated fatty acids to total fatty acids,"monounsaturated fatty acids; 16:1, 18:1 measurement",4
174,Total cholesterol minus HDL-C levels,NHDL cholesterol,5
175,Omega-3 fatty acid levels,omega-3 polyunsaturated fatty acid measurement,5
176,Ratio of omega-3 fatty acids to total fatty acids,omega-6:omega-3 polyunsaturated fatty acid ratio,4
177,Omega-6 fatty acid levels,omega-6 polyunsaturated fatty acid measurement,5
178,Ratio of omega-6 fatty acids to omega-3 fatty acids,omega-6:omega-3 polyunsaturated fatty acid ratio,5
179,Ratio of omega-6 fatty acids to total fatty acids,omega-6:omega-3 polyunsaturated fatty acid ratio,4
180,Phenylalanine levels,phenylalanine measurement,4
181,Phosphatidylcholine levels,phosphatidylcholine measurement,5
182,Phosphoglycerides levels,glycerophospholipid measurement,4
183,Polyunsaturated fatty acid levels,polyunsaturated fatty acid measurement,4
184,Ratio of polyunsaturated fatty acids to monounsaturated fatty acids,polyunsaturated fatty acids to monounsaturated fatty acids ratio,5
185,Ratio of polyunsaturated fatty acids to total fatty acids,polyunsaturated fatty acids to total fatty acids percentage,4
186,Pyruvate levels,pyruvate measurement,4
187,"Remnant cholesterol (non-HDL, non-LDL -cholesterol)",NHDL cholesterol,4
188,Cholesterol levels in small HDL,cholesterol in small HDL measurement,5
189,Cholesterol to total lipids ratio in small HDL,cholesterol to total lipids in small HDL percentage,5
190,Cholesteryl ester levels in small HDL,cholesteryl esters to total lipids in small HDL percentage,4
191,Cholesteryl esters to total lipids ratio in small HDL,cholesteryl esters to total lipids in small HDL percentage,5
192,Free cholesterol levels in small HDL,free cholesterol in small HDL measurement,5
193,Free cholesterol to total lipids ratio in small HDL,free cholesterol to total lipids in small HDL percentage,5
194,Total lipid levels in small HDL,total lipids in small HDL measurement,5
195,Concentration of small HDL particles,total lipids in small HDL measurement,4
196,Phospholipid levels in small HDL,phospholipids in small HDL measurement,5
197,Phospholipids to total lipids ratio in small HDL,phospholipids:total lipids ratio,4
198,Triglyceride levels in small HDL,triglycerides in small HDL measurement,5
199,Triglycerides to total lipids ratio in small HDL,triglycerides:total lipids ratio,4
200,Cholesterol levels in small LDL,cholesterol in small LDL measurement,5
201,Cholesterol to total lipids ratio in small LDL,cholesterol to total lipids in small LDL percentage,5
202,Cholesteryl ester levels in small LDL,cholesteryl ester measurement,4
203,Cholesteryl esters to total lipids ratio in small LDL,cholesteryl esters to total lipids in small LDL percentage,4
204,Free cholesterol levels in small LDL,free cholesterol in small LDL measurement,5
205,Free cholesterol to total lipids ratio in small LDL,free cholesterol to total lipids in small LDL percentage,5
206,Total lipid levels in small LDL,total lipids in small LDL,5
207,Concentration of small LDL particles,concentration of small LDL particles measurement,5
208,Phospholipid levels in small LDL,phospholipids in small LDL measurement,5
209,Phospholipids to total lipids ratio in small LDL,phospholipids:total lipids ratio,5
210,Triglyceride levels in small LDL,triglycerides in small LDL measurement,5
211,Triglycerides to total lipids ratio in small LDL,triglycerides:total lipids ratio,5
212,Cholesterol levels in small VLDL,cholesterol in small VLDL measurement,5
213,Cholesterol to total lipids ratio in small VLDL,cholesterol to total lipids in small VLDL percentage,5
214,Cholesteryl ester levels in small VLDL,cholesteryl esters to total lipids in small VLDL percentage,4
215,Cholesteryl esters to total lipids ratio in small VLDL,cholesteryl esters to total lipids in small VLDL percentage,5
216,Free cholesterol levels in small VLDL,free cholesterol in small VLDL measurement,5
217,Free cholesterol to total lipids ratio in small VLDL,free cholesterol to total lipids in small VLDL percentage,5
218,Total lipid levels in small VLDL,total lipids in small VLDL,5
219,Concentration of small VLDL particles,concentration of very small VLDL particles,4
220,Phospholipid levels in small VLDL,phospholipids in small VLDL measurement,5
221,Phospholipids to total lipids ratio in small VLDL,phospholipids:total lipids ratio,4
222,Triglyceride levels in small VLDL,triglycerides in small VLDL measurement,5
223,Triglycerides to total lipids ratio in small VLDL,triglycerides to total lipids in small VLDL percentage,5
224,Saturated fatty acid levels,saturated fatty acids measurement,5
225,Ratio of saturated fatty acids to total fatty acids,saturated fatty acids to total fatty acids percentage,4
226,Sphingomyelin levels,sphingomyelin measurement,4
227,Ratio of triglycerides to phosphoglycerides,triglycerides to phosphoglycerides ratio,5
228,Total concentration of branched-chain amino acids (leucine + isoleucine + valine),hypervalinemia and hyperleucine-isoleucinemia,4
229,Total esterified cholesterol levels,cholesteryl ester measurement,4
230,Total fatty acid levels,fatty acid measurement,4
231,Total free cholesterol levels,free cholesterol measurement,4
232,Total lipid levels in lipoprotein particles,total lipids in lipoprotein particles measurement,5
233,Total concentration of lipoprotein particles,lipoprotein measurement,4
234,Total phospholipid levels in lipoprotein particles,total phospholipids in lipoprotein particles measurement,5
235,Total triglycerides levels,triglyceride,5
236,Tyrosine levels,tyrosine measurement,4
237,Degree of unsaturation,fatty acid desaturase enzyme activity attribute,4
238,Valine levels,valine measurement,5
239,VLDL cholesterol levels,blood VLDL cholesterol amount,5
240,Cholesteryl ester levels in VLDL,cholesteryl ester measurement,4
241,Free cholesterol levels in VLDL,free cholesterol in VLDL measurement,5
242,Total lipid levels in VLDL,total lipids in VLDL measurement,5
243,Concentration of VLDL particles,total lipids in VLDL measurement,4
244,Phospholipid levels in VLDL,phospholipids in large VLDL measurement,4
245,Average diameter for VLDL particles,VLDL particle size,5
246,Triglyceride levels in VLDL,triglycerides in VLDL measurement,5
247,Cholesterol levels in very large HDL,cholesterol in very large HDL measurement,4
248,Cholesterol to total lipids ratio in very large HDL,cholesterol to total lipids in very large HDL percentage,5
249,Cholesteryl ester levels in very large HDL,cholesterol esters in large HDL measurement,4
250,Cholesteryl esters to total lipids ratio in very large HDL,cholesteryl esters to total lipids in very large HDL percentage,5
251,Free cholesterol levels in very large HDL,free cholesterol in very large HDL measurement,5
252,Free cholesterol to total lipids ratio in very large HDL,free cholesterol to total lipids in very large HDL percentage,5
253,Total lipid levels in very large HDL,total lipids in very large HDL measurement,5
254,Concentration of very large HDL particles,cholesterol in very large HDL measurement,4
255,Phospholipid levels in very large HDL,phospholipids in very large HDL measurement,5
256,Phospholipids to total lipids ratio in very large HDL,phospholipids:total lipids ratio,4
257,Triglyceride levels in very large HDL,triglycerides in very large HDL measurement,5
258,Triglycerides to total lipids ratio in very large HDL,triglycerides to total lipids in very large HDL percentage,5
259,Cholesterol levels in very large VLDL,cholesterol in very large VLDL measurement,5
260,Cholesterol to total lipids ratio in very large VLDL,cholesterol to total lipids in very large VLDL percentage,5
261,Cholesteryl ester levels in very large VLDL,cholesterol in very large VLDL measurement,4
262,Cholesteryl esters to total lipids ratio in very large VLDL,cholesteryl esters to total lipids in very large VLDL percentage,5
263,Free cholesterol levels in very large VLDL,free cholesterol in very large VLDL measurement,5
264,Free cholesterol to total lipids ratio in very large VLDL,free cholesterol to total lipids in very large VLDL percentage,5
265,Total lipid levels in very large VLDL,total lipids in very large VLDL measurement,5
266,Concentration of very large VLDL particles,concentration of large VLDL particles measurement,4
267,Phospholipid levels in very large VLDL,phospholipids in very large VLDL measurement,5
268,Phospholipids to total lipids ratio in very large VLDL,phospholipids:total lipids ratio,4
269,Triglyceride levels in very large VLDL,triglycerides in very large VLDL measurement,5
270,Triglycerides to total lipids ratio in very large VLDL,triglycerides to total lipids in very large VLDL percentage,5
271,Cholesterol levels in very small VLDL,cholesterol in very small VLDL measurement,5
272,Cholesterol to total lipids ratio in very small VLDL,cholesterol to total lipids in very small VLDL percentage,5
273,Cholesteryl ester levels in very small VLDL,cholesterol in very small VLDL measurement,4
274,Cholesteryl esters to total lipids ratio in very small VLDL,cholesteryl esters to total lipids in very small VLDL percentage,5
275,Free cholesterol levels in very small VLDL,free cholesterol in very small VLDL measurement,5
276,Free cholesterol to total lipids ratio in very small VLDL,free cholesterol to total lipids in very small VLDL percentage,5
277,Total lipid levels in very small VLDL,total lipids in very small VLDL measurement,5
278,Concentration of very small VLDL particles,concentration of small VLDL particles,4
279,Phospholipid levels in very small VLDL,phospholipids in very small VLDL measurement,5
280,Phospholipids to total lipids ratio in very small VLDL,phospholipids:total lipids ratio,4
281,Triglyceride levels in very small VLDL,triglycerides in very small VLDL measurement,5
282,Triglycerides to total lipids ratio in very small VLDL,triglycerides to total lipids in very small VLDL percentage,5
283,Cholesterol levels in chylomicrons and extremely large VLDL,cholesterol in chylomicrons and extremely large VLDL measurement,5
284,Cholesterol to total lipids ratio in chylomicrons and extremely large VLDL,cholesterol to total lipids in chylomicrons and extremely large VLDL percentage,5
285,Cholesteryl ester levels in chylomicrons and extremely large VLDL,cholesteryl esters to total lipids in very large VLDL percentage,4
286,Cholesteryl esters to total lipids ratio in chylomicrons and extremely large VLDL,cholesteryl esters to total lipids in chylomicrons and extremely large VLDL percentage,5
287,Free cholesterol levels in chylomicrons and extremely large VLDL,free cholesterol in chylomicrons and extremely large VLDL measurement,5
288,Free cholesterol to total lipids ratio in chylomicrons and extremely large VLDL,free cholesterol to total lipids in chylomicrons and extremely large VLDL percentage,5
289,Total lipid levels in chylomicrons and extremely large VLDL,total lipids in chylomicrons and extremely large VLDL measurement,5
290,Concentration of chylomicrons and extremely large VLDL particles,concentration of large VLDL particles measurement,4
291,Phospholipid levels in chylomicrons and extremely large VLDL,phospholipids in chylomicrons and extremely large VLDL measurement,5
292,Phospholipids to total lipids ratio in chylomicrons and extremely large VLDL,phospholipids in chylomicrons and extremely large VLDL measurement,4
293,Triglyceride levels in chylomicrons and extremely large VLDL,triglycerides in chylomicrons and extremely large VLDL measurement,5
294,Triglycerides to total lipids ratio in chylomicrons and extremely large VLDL,triglycerides to total lipids in chylomicrons and extremely large VLDL percentage,5
295,Cardiorespiratory fitness (vo2 max),maximal oxygen uptake measurement,5
296,Cardiorespiratory fitness slope,heart rate response to exercise,4
297,Physical activity,physical activity measurement,5
298,Neutralising antibody response to interferon beta therapy in multiple sclerosis (presence of antibodies; IFNβ-1a subcutaneous),level of interferon-induced GTP-binding protein Mx1 in blood serum,3
299,Neutralising antibody response to interferon beta therapy in multiple sclerosis,level of interferon-induced GTP-binding protein Mx1 in blood serum,3
300,Neutralising antibody response to interferon beta therapy in multiple sclerosis (presence of antibodies; IFNβ-1a subcutaneous and intramuscular),level of interferon-induced GTP-binding protein Mx1 in blood serum,3
301,Neutralising antibody response to interferon beta therapy in multiple sclerosis (presence of antibodies; IFNβ-1b subcutaneous),level of interferon-induced GTP-binding protein Mx1 in blood serum,3
302,Neutralising antibody response to interferon beta therapy in multiple sclerosis (presence of antibodies; all treatment preparations),obsolete_response to interferon beta,5
303,Neutralising antibody response to interferon beta therapy in multiple sclerosis (antibody titre; IFNβ-1a subcutaneous),level of interferon-induced GTP-binding protein Mx1 in blood serum,3
304,Neutralising antibody response to interferon beta therapy in multiple sclerosis (antibody titre; IFNβ-1a intramuscular),level of interferon-induced GTP-binding protein Mx1 in blood serum,3
305,Neutralising antibody response to interferon beta therapy in multiple sclerosis (antibody titre; IFNβ-1a subcutaneous and intramuscular),SARS-CoV-2 neutralizing antibody measurement,2
306,Neutralising antibody response to interferon beta therapy in multiple sclerosis (antibody titre; IFNβ-1b subcutaneous),level of interferon lambda-4 (human) in blood serum,3
307,Neutralising antibody response to interferon beta therapy in multiple sclerosis (antibody titre; all treatment preparations),level of interferon-induced GTP-binding protein Mx1 in blood serum,3
308,Binding antibody response to interferon beta therapy in multiple sclerosis (antibody levels; IFNβ-1a subcutaneous),obsolete_response to interferon beta,4
309,Binding antibody response to interferon beta therapy in multiple sclerosis (antibody levels; IFNβ-1a intramuscular),level of interferon-induced GTP-binding protein Mx1 in blood serum,3
310,Binding antibody response to interferon beta therapy in multiple sclerosis (antibody levels; IFNβ-1a subcutaneous and intramuscular),level of interferon-induced GTP-binding protein Mx1 in blood serum,3
311,Binding antibody response to interferon beta therapy in multiple sclerosis (antibody levels; IFNβ-1b subcutaneous),obsolete_response to interferon beta,4
312,Binding antibody response to interferon beta therapy in multiple sclerosis (antibody levels; all treatment preparations),obsolete_response to interferon beta,4
313,Neutralising antibody response to interferon beta therapy in multiple sclerosis in patients positive for neutralising antibodies (antibody titre; IFNβ-1a subcutaneous),response to BCG intravesical immunotherapy,2
314,Neutralising antibody response to interferon beta therapy in multiple sclerosis in patients positive for neutralising antibodies (antibody titre; IFNβ-1a intramuscular),level of interferon alpha-1/13 in blood serum,3
315,Neutralising antibody response to interferon beta therapy in multiple sclerosis in patients positive for neutralising antibodies,level of interferon alpha-16 in blood serum,4
316,Neutralising antibody response to interferon beta therapy in multiple sclerosis in patients positive for neutralising antibodies (antibody titre; IFNβ-1b subcutaneous),level of interferon-induced GTP-binding protein Mx1 in blood serum,3
317,Neutralising antibody response to interferon beta therapy in multiple sclerosis in patients positive for neutralising antibodies (antibody titre; all treatment preparations),level of interferon alpha-16 in blood serum,3
318,Dementia with Lewy bodies in APOE e4+ carriers,Lewy body dementia,5
319,Early-onset myasthenia gravis,juvenile myasthenia gravis,4
320,Late-onset myasthenia gravis,late-onset myasthenia gravis,5
321,Circulating levels of total-tau,t-tau measurement,5
322,Corneal resistance factor,corneal hysteresis,4
323,Spleen iron concentration,spleen iron measurement,4
324,S100 calcium-binding protein levels,S100 calcium-binding protein B measurement,4
325,Estimated glomerular filtration rate (creatinine),glomerular filtration rate,5
326,familial combined hyperlipidemia defined by Brunzell criteria,familial hyperlipidemia,4
327,Familial combined hyperlipidemia defined by Goldstein criteria,familial hyperlipidemia,4
328,Familial combined hyperlipidemia defined by Dutch criteria,familial hyperlipidemia,4
329,Familial combined hyperlipidemia defined by Consensus criteria,familial hyperlipidemia,4
330,Familial combined hyperlipidemia defined by Mexico criteria,familial hyperlipidemia,4
331,"Cholesterol, total",total cholesterol measurement,5
332,Obesity,obesity,5
333,Gout,gout,5
334,Alzheimer's disease (late onset),late-onset Alzheimers disease,5
335,circulating leptin levels,amount of leptin (human) in blood,5
336,circulating leptin levels adjusted for BMI,BMI-adjusted leptin measurement,5
337,Periodontal disease-related phenotype (Socransky),"Ehlers-Danlos syndrome, periodontal type 2",4
338,Modified Stumvoll Insulin Sensitivity Index (model adjusted for BMI),BMI-adjusted fasting blood insulin measurement,4
339,Modified Stumvoll Insulin Sensitivity Index (BMI interaction),BMI-adjusted leptin measurement,4
340,Esophageal adenocarcinoma,esophageal adenocarcinoma,5
341,Barrett's esophagus or Esophageal adenocarcinoma,Barrett's esophagus,5
342,Subjective well-being,quality of life,4
343,Intraocular pressure,intraocular pressure measurement,4
344,Vertical cup-disc ratio,cup-to-disc ratio measurement,4
345,Optic disc area,optic disc area,5
346,Optic cup area,optic cup,4
347,CTACK levels,CROAP2,3
348,Macrophage Migration Inhibitory Factor levels,amount of macrophage migration inhibitory factor (human) in blood,4
349,TRAIL levels,AIDS,2
350,Tumor necrosis factor beta levels,obsolete_tumor necrosis factor beta measurement,4
351,Tumor necrosis factor alpha levels,tumor necrosis factor-alpha,5
352,Stromal-cell-derived factor 1 alpha levels,stromal cell-derived factor 1 (human),4
353,Stem cell growth factor beta levels,stem Cell Growth Factor-beta measurement,4
354,Interleukin-16 levels,interleukin 16 measurement,5
355,RANTES levels,NOIR,3
356,Platelet-derived growth factor BB levels,platelet-derived growth factor complex BB dimer amount,4
357,Macrophage inflammatory protein 1b levels,macrophage inflammatory protein 1b measurement,5
358,Macrophage inflammatory protein 1a levels,macrophage inflammatory protein 1a measurement,5
359,Monokine induced by gamma interferon levels,monokine induced by gamma interferon measurement,4
360,Macrophage colony stimulating factor levels,macrophage colony stimulating factor measurement,5
361,Interleukin-12p70 levels,interleukin-12 measurement,4
362,Interferon gamma-induced protein 10 levels,interferon alpha-10 measurement,4
363,Interleukin-17 levels,interleukin 17 measurement,5
364,Interleukin-13 levels,interleukin 13 measurement,5
365,Interleukin-10 levels,interleukin-10 measurement,5
366,Interleukin-1-beta levels,interleukin-1 beta measurement,5
367,Interleukin-9 levels,interleukin-9 measurement,5
368,Interleukin-7 levels,interleukin-7 measurement,5
369,Interleukin-5 levels,interleukin-5 measurement,5
370,Interleukin-4 levels,interleukin-4 measurement,5
371,Interleukin-2 receptor antagonist levels,interleukin-2 measurement,4
372,Interleukin-2 levels,interleukin-2 measurement,5
373,Interferon gamma levels,interferon gamma measurement,5
374,Growth-regulated protein alpha levels,growth-regulated alpha protein measurement,4
375,Granulocyte-colony stimulating factor levels,granulocyte colony-stimulating factor measurement,5
376,Fibroblast growth factor basic levels,fibroblast growth factor 2 amount,4
377,Eotaxin levels,eotaxin measurement,4
378,Alanine transaminase levels,serum alanine aminotransferase measurement,5
379,Dehydroepiandrosterone sulphate levels,dehydroepiandrosterone sulphate,5
380,Serum albumin level,serum albumin amount,4
381,Fibrinogen levels,circulating fibrinogen levels,5
382,Glomerular filtration rate,glomerular filtration rate,5
383,Urea levels,urea measurement,5
384,Ferritin levels,ferritin measurement,4
385,Testosterone levels,testosterone,5
386,Modified Stumvoll Insulin Sensitivity Index,obsolete_response to diuretic,2
387,Attention deficit hyperactivity disorder,attention deficit hyperactivity disorder,5
388,Heart rate increase in response to exercise,heart rate response to exercise,4
389,Heart rate response to recovery post exercise (10 sec),heart rate response to recovery post exercise,5
390,Heart rate response to recovery post exercise (20 sec),heart rate response to recovery post exercise,5
391,Heart rate response to recovery post exercise (50 sec),heart rate response to recovery post exercise,5
392,Heart rate response to recovery post exercise (40 sec),heart rate response to recovery post exercise,5
393,Heart rate response to recovery post exercise (30 sec),heart rate response to recovery post exercise,5
394,Paternal history of Alzheimer's disease,family history of Alzheimer’s disease,4
395,Maternal history of Alzheimer's disease,family history of Alzheimer’s disease,4
396,Intelligence,intelligence,5
397,Philtrum width,Long philtrum,4
398,Worry,anxiety,5
399,Heart failure,heart failure,5
400,Glaucoma (multi-trait analysis),glaucoma,4
401,Snoring,snoring measurement,4
402,Membranous nephropathy,membranous glomerulonephritis,4
403,Complement C4 levels,complement C4 measurement,5
404,Complement C3 levels,complement C3 measurement,5
405,Parkinson's disease motor subtype (tremor dominant vs postural instability/gait difficulty),obsolete_sensorineural hearing loss-early graying-essential tremor syndrome,2
406,Parkinson's disease motor subtype (tremor to postural instability/gait difficulty score ratio),childhood-onset motor and cognitive regression syndrome with extrapyramidal movement disorder,3
407,Age at first sexual intercourse,age at first sexual intercourse measurement,5
408,Age at first birth,age at first birth measurement,5
409,Severe COVID-19 infection with respiratory failure (analysis I),obsolete critical COVID-19 infection,5
410,Severe COVID-19 infection with respiratory failure (analysis II),obsolete critical COVID-19 infection,5
411,4E-BP1 levels,4E-BP1 measurement,5
412,Adenosine Deaminase levels,adenosine deaminase measurement,4
413,Axin-1 levels,axin-1 measurement,4
414,CCL11 levels,CCL11 measurement,5
415,CCL19 levels,CCL19 measurement,5
416,CCL20 levels,CCL20 measurement,5
417,CCL23 levels,CCL23 measurement,5
418,CCL25 levels,CCL25 measurement,5
419,CCL28 levels,CCL28 measurement,5
420,CCL3 levels,CCL3 measurement,5
421,CCL4 levels,CCL4 measurement,5
422,CD244 levels,CD244 measurement,5
423,CD40 levels,CD40 measurement,5
424,CD5 levels,CD5 measurement,5
425,CD6 levels,CD6 measurement,5
426,CDCP1 levels,Cdc42 effector protein 4,3
427,Colony stimulating factor levels,granulocyte colony-stimulating factor measurement,4
428,Cystatin D levels,cystatin-D measurement,5
429,CXCL1 levels,CXCL1 measurement,5
430,CXCL10 levels,CXCL10 measurement,5
431,CXCL11 levels,CXCL11 measurement,5
432,CXCL5 levels,CXCL5 measurement,5
433,CXCL6 levels,CXCL6 measurement,5
434,CXCL9 levels,CXCL9 measurement,5
435,DNER levels,sRAGE measurement,3
436,EN-RAGE levels,brain attribute,3
437,Fibroblast growth factor 19 levels,fibroblast growth factor 19 amount,5
438,Fibroblast growth factor 5 levels,fibroblast growth factor 5 amount,5
439,Flt3L levels,OCI-AML3,3
440,Interleukin-10 receptor B levels,interleukin-10 receptor subunit beta measurement,4
441,Interleukin-12 subunit B levels,interleukin-12 subunit beta,5
442,interleukin 15 receptor subunit alpha levels,interleukin-15 receptor subunit alpha measurement,4
443,interleukin-18 receptor 1 levels,interleukin-18 receptor 1 measurement,5
444,Transforming growth factor-beta levels,transforming growth factor beta-1 amount,4
445,Leukemia inhibitory factor receptor levels,leukemia inhibitory factor receptor measurement,4
446,Monocyte chemoattractant protein-2 levels,monocyte chemotactic protein-2 measurement,5
447,Monocyte chemoattractant protein-3 levels,monocyte chemotactic protein 3 measurement,5
448,Monocyte chemoattractant protein-4 levels,monocyte chemotactic protein-4 measurement,5
449,Matrix metalloproteinase levels,matrix metalloproteinase measurement,5
450,Neurotrophin-3 levels,neurotrophin-3 measurement,5
